receipt_id;store_id;city;product_name;quantity;unit_price_eur;total_eur;sale_date
R1001;S01;Berlin;Espresso Beans 1kg;1;12.50;12.50;2026-01-01
R1002;S01;Berlin;Olive Oil 750ml;2;8.00;16.00;2026-01-02
R1003;S01;Berlin;Sourdough Loaf;3;3.25;9.75;2026-01-03
R1004;S01;Berlin;Gouda Cheese 500g;4;6.75;27.00;2026-01-04
R1005;S01;Berlin;Sparkling Water 6x1L;1;4.50;4.50;2026-01-05
R1006;S01;Berlin;Espresso Beans 1kg;2;12.50;25.00;2026-01-06
R1007;S01;Berlin;Olive Oil 750ml;3;8.00;24.00;2026-01-07
R1008;S01;Berlin;Sourdough Loaf;4;3.25;13.00;2026-01-08
R1009;S01;Berlin;Gouda Cheese 500g;1;6.75;6.75;2026-01-09
R1010;S01;Berlin;Sparkling Water 6x1L;2;4.50;9.00;2026-01-10
R1011;S01;Berlin;Espresso Beans 1kg;3;12.50;37.50;2026-01-11
R1012;S01;Berlin;Olive Oil 750ml;4;8.00;32.00;2026-01-12
R1013;S01;Berlin;Sourdough Loaf;1;3.25;3.25;2026-01-13
R1014;S01;Berlin;Gouda Cheese 500g;2;6.75;13.50;2026-01-14
R1015;S02;Munich;Sparkling Water 6x1L;3;4.50;13.50;2026-01-15
R1016;S02;Munich;Espresso Beans 1kg;4;12.50;50.00;2026-01-16
R1017;S02;Munich;Olive Oil 750ml;1;8.00;8.00;2026-01-17
R1018;S02;Munich;Sourdough Loaf;2;3.25;6.50;2026-01-18
R1019;S02;Munich;Gouda Cheese 500g;3;6.75;20.25;2026-01-19
R1020;S02;Munich;Sparkling Water 6x1L;4;4.50;18.00;2026-01-20
R1021;S02;Munich;Espresso Beans 1kg;1;12.50;12.50;2026-01-21
R1022;S02;Munich;Olive Oil 750ml;2;8.00;16.00;2026-01-22
R1023;S02;Munich;Sourdough Loaf;3;3.25;9.75;2026-01-23
R1024;S02;Munich;Gouda Cheese 500g;4;6.75;27.00;2026-01-24
R1025;S02;Munich;Sparkling Water 6x1L;1;4.50;4.50;2026-01-25
R1026;S03;Hamburg;Espresso Beans 1kg;2;12.50;25.00;2026-01-26
R1027;S03;Hamburg;Olive Oil 750ml;3;8.00;24.00;2026-01-27
R1028;S03;Hamburg;Sourdough Loaf;4;3.25;13.00;2026-01-28
R1029;S03;Hamburg;Gouda Cheese 500g;1;6.75;6.75;2026-01-01
R1030;S03;Hamburg;Sparkling Water 6x1L;2;4.50;9.00;2026-01-02
R1031;S03;Hamburg;Espresso Beans 1kg;3;12.50;37.50;2026-01-03
R1032;S03;Hamburg;Olive Oil 750ml;4;8.00;32.00;2026-01-04
R1033;S03;Hamburg;Sourdough Loaf;1;3.25;3.25;2026-01-05
R1034;S03;Hamburg;Gouda Cheese 500g;2;6.75;13.50;2026-01-06
R1035;S04;Cologne;Sparkling Water 6x1L;3;4.50;13.50;2026-01-07
R1036;S04;Cologne;Espresso Beans 1kg;4;12.50;50.00;2026-01-08
R1037;S04;Cologne;Olive Oil 750ml;1;8.00;8.00;2026-01-09
R1038;S04;Cologne;Sourdough Loaf;2;3.25;6.50;2026-01-10
R1039;S04;Cologne;Gouda Cheese 500g;3;6.75;20.25;2026-01-11
R1040;S04;Cologne;Sparkling Water 6x1L;4;4.50;18.00;2026-01-12
