src|dst|weight|edge_type
10|0|1.0|travel-companion
14|0|1.0|play-partner
15|0|1.0|foraging-ally
40|0|1.0|travel-companion
42|0|1.0|swimming-companion
47|0|1.0|resting-associate
17|1|1.0|swimming-companion
19|1|1.0|play-partner
26|1|1.0|foraging-ally
27|1|1.0|travel-companion
28|1|1.0|resting-associate
36|1|1.0|pod-mate
41|1|1.0|swimming-companion
54|1|1.0|pod-mate
10|2|1.0|swimming-companion
42|2|1.0|play-partner
44|2|1.0|travel-companion
61|2|1.0|foraging-ally
8|3|1.0|resting-associate
14|3|1.0|resting-associate
59|3|1.0|play-partner
51|4|1.0|pod-mate
9|5|1.0|play-partner
13|5|1.0|swimming-companion
56|5|1.0|pod-mate
57|5|1.0|play-partner
9|6|1.0|foraging-ally
13|6|1.0|pod-mate
17|6|1.0|resting-associate
54|6|1.0|swimming-companion
56|6|1.0|play-partner
57|6|1.0|foraging-ally
19|7|1.0|play-partner
27|7|1.0|travel-companion
30|7|1.0|pod-mate
40|7|1.0|resting-associate
54|7|1.0|pod-mate
20|8|1.0|travel-companion
28|8|1.0|swimming-companion
37|8|1.0|foraging-ally
45|8|1.0|resting-associate
59|8|1.0|pod-mate
13|9|1.0|travel-companion
17|9|1.0|play-partner
32|9|1.0|resting-associate
41|9|1.0|play-partner
57|9|1.0|swimming-companion
29|10|1.0|foraging-ally
42|10|1.0|travel-companion
47|10|1.0|foraging-ally
51|11|1.0|play-partner
33|12|1.0|foraging-ally
17|13|1.0|swimming-companion
32|13|1.0|foraging-ally
41|13|1.0|swimming-companion
54|13|1.0|pod-mate
57|13|1.0|travel-companion
16|14|1.0|swimming-companion
24|14|1.0|play-partner
33|14|1.0|resting-associate
34|14|1.0|swimming-companion
37|14|1.0|foraging-ally
38|14|1.0|travel-companion
40|14|1.0|swimming-companion
43|14|1.0|foraging-ally
50|14|1.0|travel-companion
52|14|1.0|swimming-companion
18|15|1.0|foraging-ally
24|15|1.0|foraging-ally
40|15|1.0|pod-mate
45|15|1.0|swimming-companion
55|15|1.0|travel-companion
59|15|1.0|play-partner
20|16|1.0|swimming-companion
33|16|1.0|pod-mate
37|16|1.0|resting-associate
38|16|1.0|swimming-companion
50|16|1.0|swimming-companion
22|17|1.0|foraging-ally
25|17|1.0|swimming-companion
27|17|1.0|play-partner
31|17|1.0|swimming-companion
57|17|1.0|play-partner
20|18|1.0|play-partner
21|18|1.0|foraging-ally
24|18|1.0|swimming-companion
29|18|1.0|resting-associate
45|18|1.0|foraging-ally
51|18|1.0|foraging-ally
30|19|1.0|pod-mate
54|19|1.0|pod-mate
28|20|1.0|swimming-companion
36|20|1.0|play-partner
38|20|1.0|travel-companion
44|20|1.0|travel-companion
47|20|1.0|pod-mate
50|20|1.0|travel-companion
29|21|1.0|play-partner
33|21|1.0|swimming-companion
37|21|1.0|travel-companion
45|21|1.0|swimming-companion
51|21|1.0|swimming-companion
36|23|1.0|resting-associate
45|23|1.0|play-partner
51|23|1.0|play-partner
29|24|1.0|resting-associate
45|24|1.0|foraging-ally
51|24|1.0|foraging-ally
26|25|1.0|foraging-ally
27|25|1.0|travel-companion
27|26|1.0|resting-associate
30|28|1.0|travel-companion
47|28|1.0|foraging-ally
35|29|1.0|travel-companion
43|29|1.0|swimming-companion
45|29|1.0|play-partner
51|29|1.0|play-partner
52|29|1.0|foraging-ally
42|30|1.0|swimming-companion
47|30|1.0|resting-associate
60|32|1.0|play-partner
34|33|1.0|pod-mate
37|33|1.0|travel-companion
38|33|1.0|resting-associate
40|33|1.0|pod-mate
43|33|1.0|travel-companion
50|33|1.0|resting-associate
37|34|1.0|resting-associate
44|34|1.0|swimming-companion
49|34|1.0|resting-associate
37|36|1.0|pod-mate
39|36|1.0|foraging-ally
40|36|1.0|travel-companion
59|36|1.0|resting-associate
40|37|1.0|resting-associate
43|37|1.0|play-partner
45|37|1.0|travel-companion
61|37|1.0|play-partner
43|38|1.0|foraging-ally
44|38|1.0|travel-companion
52|38|1.0|swimming-companion
58|38|1.0|swimming-companion
57|39|1.0|swimming-companion
52|40|1.0|play-partner
54|41|1.0|resting-associate
57|41|1.0|play-partner
47|42|1.0|resting-associate
50|42|1.0|play-partner
46|43|1.0|resting-associate
53|43|1.0|swimming-companion
50|45|1.0|resting-associate
51|45|1.0|swimming-companion
59|45|1.0|play-partner
49|46|1.0|resting-associate
57|48|1.0|foraging-ally
51|50|1.0|resting-associate
55|51|1.0|travel-companion
61|53|1.0|swimming-companion
57|54|1.0|foraging-ally
0|10|1.0|travel-companion
0|14|1.0|play-partner
0|15|1.0|foraging-ally
0|40|1.0|travel-companion
0|42|1.0|swimming-companion
0|47|1.0|resting-associate
1|17|1.0|swimming-companion
1|19|1.0|play-partner
1|26|1.0|foraging-ally
1|27|1.0|travel-companion
1|28|1.0|resting-associate
1|36|1.0|pod-mate
1|41|1.0|swimming-companion
1|54|1.0|pod-mate
2|10|1.0|swimming-companion
2|42|1.0|play-partner
2|44|1.0|travel-companion
2|61|1.0|foraging-ally
3|8|1.0|resting-associate
3|14|1.0|resting-associate
3|59|1.0|play-partner
4|51|1.0|pod-mate
5|9|1.0|play-partner
5|13|1.0|swimming-companion
5|56|1.0|pod-mate
5|57|1.0|play-partner
6|9|1.0|foraging-ally
6|13|1.0|pod-mate
6|17|1.0|resting-associate
6|54|1.0|swimming-companion
6|56|1.0|play-partner
6|57|1.0|foraging-ally
7|19|1.0|play-partner
7|27|1.0|travel-companion
7|30|1.0|pod-mate
7|40|1.0|resting-associate
7|54|1.0|pod-mate
8|20|1.0|travel-companion
8|28|1.0|swimming-companion
8|37|1.0|foraging-ally
8|45|1.0|resting-associate
8|59|1.0|pod-mate
9|13|1.0|travel-companion
9|17|1.0|play-partner
9|32|1.0|resting-associate
9|41|1.0|play-partner
9|57|1.0|swimming-companion
10|29|1.0|foraging-ally
10|42|1.0|travel-companion
10|47|1.0|foraging-ally
11|51|1.0|play-partner
12|33|1.0|foraging-ally
13|17|1.0|swimming-companion
13|32|1.0|foraging-ally
13|41|1.0|swimming-companion
13|54|1.0|pod-mate
13|57|1.0|travel-companion
14|16|1.0|swimming-companion
14|24|1.0|play-partner
14|33|1.0|resting-associate
14|34|1.0|swimming-companion
14|37|1.0|foraging-ally
14|38|1.0|travel-companion
14|40|1.0|swimming-companion
14|43|1.0|foraging-ally
14|50|1.0|travel-companion
14|52|1.0|swimming-companion
15|18|1.0|foraging-ally
15|24|1.0|foraging-ally
15|40|1.0|pod-mate
15|45|1.0|swimming-companion
15|55|1.0|travel-companion
15|59|1.0|play-partner
16|20|1.0|swimming-companion
16|33|1.0|pod-mate
16|37|1.0|resting-associate
16|38|1.0|swimming-companion
16|50|1.0|swimming-companion
17|22|1.0|foraging-ally
17|25|1.0|swimming-companion
17|27|1.0|play-partner
17|31|1.0|swimming-companion
17|57|1.0|play-partner
18|20|1.0|play-partner
18|21|1.0|foraging-ally
18|24|1.0|swimming-companion
18|29|1.0|resting-associate
18|45|1.0|foraging-ally
18|51|1.0|foraging-ally
19|30|1.0|pod-mate
19|54|1.0|pod-mate
20|28|1.0|swimming-companion
20|36|1.0|play-partner
20|38|1.0|travel-companion
20|44|1.0|travel-companion
20|47|1.0|pod-mate
20|50|1.0|travel-companion
21|29|1.0|play-partner
21|33|1.0|swimming-companion
21|37|1.0|travel-companion
21|45|1.0|swimming-companion
21|51|1.0|swimming-companion
23|36|1.0|resting-associate
23|45|1.0|play-partner
23|51|1.0|play-partner
24|29|1.0|resting-associate
24|45|1.0|foraging-ally
24|51|1.0|foraging-ally
25|26|1.0|foraging-ally
25|27|1.0|travel-companion
26|27|1.0|resting-associate
28|30|1.0|travel-companion
28|47|1.0|foraging-ally
29|35|1.0|travel-companion
29|43|1.0|swimming-companion
29|45|1.0|play-partner
29|51|1.0|play-partner
29|52|1.0|foraging-ally
30|42|1.0|swimming-companion
30|47|1.0|resting-associate
32|60|1.0|play-partner
33|34|1.0|pod-mate
33|37|1.0|travel-companion
33|38|1.0|resting-associate
33|40|1.0|pod-mate
33|43|1.0|travel-companion
33|50|1.0|resting-associate
34|37|1.0|resting-associate
34|44|1.0|swimming-companion
34|49|1.0|resting-associate
36|37|1.0|pod-mate
36|39|1.0|foraging-ally
36|40|1.0|travel-companion
36|59|1.0|resting-associate
37|40|1.0|resting-associate
37|43|1.0|play-partner
37|45|1.0|travel-companion
37|61|1.0|play-partner
38|43|1.0|foraging-ally
38|44|1.0|travel-companion
38|52|1.0|swimming-companion
38|58|1.0|swimming-companion
39|57|1.0|swimming-companion
40|52|1.0|play-partner
41|54|1.0|resting-associate
41|57|1.0|play-partner
42|47|1.0|resting-associate
42|50|1.0|play-partner
43|46|1.0|resting-associate
43|53|1.0|swimming-companion
45|50|1.0|resting-associate
45|51|1.0|swimming-companion
45|59|1.0|play-partner
46|49|1.0|resting-associate
48|57|1.0|foraging-ally
50|51|1.0|resting-associate
51|55|1.0|travel-companion
53|61|1.0|swimming-companion
54|57|1.0|foraging-ally
