src|dst|weight|edge_type
0|1|1.0|cc-notification
2|3|1.0|direct-email
2|4|1.0|cc-notification
5|6|1.0|cc-notification
5|7|1.0|reply
8|9|1.0|reply
10|11|1.0|cc-notification
12|13|1.0|direct-email
12|14|1.0|cc-notification
15|16|1.0|cc-notification
17|18|1.0|direct-email
12|19|1.0|cc-notification
20|21|1.0|cc-notification
20|22|1.0|reply
23|24|1.0|reply
23|25|1.0|forwarded-message
23|26|1.0|meeting-request
23|27|1.0|direct-email
23|28|1.0|cc-notification
23|29|1.0|reply
23|30|1.0|forwarded-message
23|31|1.0|meeting-request
23|32|1.0|direct-email
23|33|1.0|cc-notification
23|34|1.0|reply
23|35|1.0|forwarded-message
23|36|1.0|meeting-request
23|37|1.0|direct-email
23|38|1.0|cc-notification
23|39|1.0|reply
23|40|1.0|forwarded-message
41|42|1.0|forwarded-message
43|44|1.0|reply
45|46|1.0|cc-notification
47|48|1.0|direct-email
49|50|1.0|meeting-request
41|51|1.0|reply
52|53|1.0|direct-email
54|55|1.0|meeting-request
54|56|1.0|direct-email
54|57|1.0|cc-notification
54|58|1.0|reply
54|59|1.0|forwarded-message
60|61|1.0|cc-notification
54|54|1.0|self-note
62|63|1.0|direct-email
64|65|1.0|meeting-request
62|4|1.0|cc-notification
66|67|1.0|forwarded-message
68|69|1.0|reply
42|41|1.0|forwarded-message
70|71|1.0|cc-notification
72|21|1.0|forwarded-message
71|70|1.0|cc-notification
73|74|1.0|reply
75|76|1.0|cc-notification
75|48|1.0|forwarded-message
77|78|1.0|direct-email
77|79|1.0|cc-notification
80|81|1.0|cc-notification
80|68|1.0|forwarded-message
19|62|1.0|cc-notification
82|83|1.0|direct-email
22|21|1.0|forwarded-message
82|84|1.0|cc-notification
21|72|1.0|forwarded-message
41|85|1.0|cc-notification
41|86|1.0|reply
41|87|1.0|forwarded-message
82|86|1.0|forwarded-message
88|89|1.0|reply
90|91|1.0|cc-notification
92|20|1.0|reply
41|93|1.0|meeting-request
41|94|1.0|direct-email
41|95|1.0|cc-notification
89|96|1.0|direct-email
89|88|1.0|reply
97|98|1.0|direct-email
97|99|1.0|cc-notification
97|100|1.0|reply
97|101|1.0|forwarded-message
97|102|1.0|meeting-request
103|104|1.0|reply
51|41|1.0|reply
82|105|1.0|reply
90|106|1.0|cc-notification
62|107|1.0|meeting-request
108|109|1.0|reply
108|66|1.0|meeting-request
108|110|1.0|forwarded-message
108|111|1.0|meeting-request
108|112|1.0|direct-email
113|114|1.0|reply
115|116|1.0|cc-notification
117|118|1.0|direct-email
76|119|1.0|direct-email
17|120|1.0|reply
82|121|1.0|forwarded-message
122|123|1.0|direct-email
14|12|1.0|cc-notification
124|125|1.0|meeting-request
13|126|1.0|meeting-request
127|128|1.0|direct-email
127|129|1.0|cc-notification
127|130|1.0|reply
131|132|1.0|forwarded-message
40|26|1.0|cc-notification
40|29|1.0|meeting-request
18|133|1.0|cc-notification
56|55|1.0|cc-notification
56|54|1.0|direct-email
56|59|1.0|direct-email
134|6|1.0|direct-email
115|62|1.0|reply
135|136|1.0|cc-notification
137|138|1.0|direct-email
137|137|1.0|self-note
22|20|1.0|reply
139|140|1.0|meeting-request
141|142|1.0|forwarded-message
143|143|1.0|self-note
143|51|1.0|meeting-request
143|133|1.0|cc-notification
144|145|1.0|meeting-request
146|147|1.0|forwarded-message
83|82|1.0|direct-email
148|149|1.0|reply
150|103|1.0|forwarded-message
150|150|1.0|self-note
49|84|1.0|forwarded-message
151|28|1.0|meeting-request
152|153|1.0|direct-email
153|152|1.0|direct-email
154|155|1.0|meeting-request
156|157|1.0|forwarded-message
139|15|1.0|meeting-request
158|159|1.0|reply
4|2|1.0|cc-notification
4|3|1.0|reply
133|18|1.0|cc-notification
160|161|1.0|cc-notification
84|162|1.0|cc-notification
84|50|1.0|meeting-request
84|49|1.0|forwarded-message
84|71|1.0|direct-email
72|163|1.0|direct-email
164|139|1.0|forwarded-message
165|166|1.0|cc-notification
167|168|1.0|direct-email
123|122|1.0|direct-email
169|115|1.0|meeting-request
169|170|1.0|meeting-request
40|171|1.0|cc-notification
123|103|1.0|cc-notification
123|172|1.0|direct-email
123|61|1.0|meeting-request
123|123|1.0|self-note
24|96|1.0|direct-email
81|80|1.0|cc-notification
173|21|1.0|meeting-request
174|175|1.0|meeting-request
176|177|1.0|forwarded-message
176|178|1.0|meeting-request
122|179|1.0|cc-notification
21|22|1.0|forwarded-message
180|130|1.0|direct-email
181|182|1.0|forwarded-message
129|183|1.0|reply
184|184|1.0|self-note
181|179|1.0|direct-email
185|52|1.0|reply
70|186|1.0|cc-notification
106|187|1.0|forwarded-message
137|175|1.0|reply
137|174|1.0|cc-notification
188|189|1.0|reply
108|190|1.0|forwarded-message
191|157|1.0|forwarded-message
191|191|1.0|self-note
192|193|1.0|direct-email
192|194|1.0|cc-notification
192|195|1.0|reply
192|2|1.0|meeting-request
192|192|1.0|self-note
41|196|1.0|reply
41|197|1.0|forwarded-message
41|198|1.0|meeting-request
41|199|1.0|direct-email
