src|dst|weight|edge_type
0|1|1.0|sparring-buddy
0|2|1.0|class-friend
0|3|1.0|practice-mate
0|4|1.0|social-contact
0|5|1.0|training-partner
0|6|1.0|sparring-buddy
0|7|1.0|class-friend
0|8|1.0|practice-mate
0|10|1.0|training-partner
0|11|1.0|sparring-buddy
0|12|1.0|class-friend
0|13|1.0|practice-mate
0|17|1.0|class-friend
0|19|1.0|social-contact
0|21|1.0|sparring-buddy
0|31|1.0|sparring-buddy
1|2|1.0|practice-mate
1|3|1.0|social-contact
1|7|1.0|practice-mate
1|13|1.0|social-contact
1|17|1.0|practice-mate
1|19|1.0|training-partner
1|21|1.0|class-friend
1|30|1.0|sparring-buddy
2|3|1.0|training-partner
2|7|1.0|social-contact
2|8|1.0|training-partner
2|9|1.0|sparring-buddy
2|13|1.0|training-partner
2|27|1.0|social-contact
2|28|1.0|training-partner
2|32|1.0|social-contact
3|7|1.0|training-partner
3|12|1.0|training-partner
3|13|1.0|sparring-buddy
4|6|1.0|training-partner
4|10|1.0|social-contact
5|6|1.0|sparring-buddy
5|10|1.0|training-partner
5|16|1.0|sparring-buddy
6|16|1.0|class-friend
8|30|1.0|practice-mate
8|32|1.0|training-partner
8|33|1.0|sparring-buddy
9|33|1.0|class-friend
13|33|1.0|sparring-buddy
14|32|1.0|sparring-buddy
14|33|1.0|class-friend
15|32|1.0|class-friend
15|33|1.0|practice-mate
18|32|1.0|training-partner
18|33|1.0|sparring-buddy
19|33|1.0|class-friend
20|32|1.0|class-friend
20|33|1.0|practice-mate
22|32|1.0|social-contact
22|33|1.0|training-partner
23|25|1.0|practice-mate
23|27|1.0|training-partner
23|29|1.0|class-friend
23|32|1.0|training-partner
23|33|1.0|sparring-buddy
24|25|1.0|social-contact
24|27|1.0|sparring-buddy
24|31|1.0|training-partner
25|31|1.0|sparring-buddy
26|29|1.0|training-partner
26|33|1.0|social-contact
27|33|1.0|training-partner
28|31|1.0|social-contact
28|33|1.0|sparring-buddy
29|32|1.0|sparring-buddy
29|33|1.0|class-friend
30|32|1.0|class-friend
30|33|1.0|practice-mate
31|32|1.0|practice-mate
31|33|1.0|social-contact
32|33|1.0|training-partner
