src|dst|weight|edge_type
1|0|1.0|also-recommended
2|0|1.0|same-topic
3|0|1.0|reader-overlap
4|0|1.0|editorial-pick
5|0|1.0|frequently-bought-together
6|0|1.0|also-recommended
3|1|1.0|editorial-pick
5|1|1.0|also-recommended
6|1|1.0|same-topic
4|2|1.0|also-recommended
5|2|1.0|same-topic
7|2|1.0|editorial-pick
5|3|1.0|reader-overlap
8|3|1.0|also-recommended
9|3|1.0|same-topic
10|3|1.0|reader-overlap
11|3|1.0|editorial-pick
12|3|1.0|frequently-bought-together
13|3|1.0|also-recommended
14|3|1.0|same-topic
15|3|1.0|reader-overlap
16|3|1.0|editorial-pick
17|3|1.0|frequently-bought-together
18|3|1.0|also-recommended
19|3|1.0|same-topic
20|3|1.0|reader-overlap
21|3|1.0|editorial-pick
22|3|1.0|frequently-bought-together
23|3|1.0|also-recommended
24|3|1.0|same-topic
25|3|1.0|reader-overlap
26|3|1.0|editorial-pick
27|3|1.0|frequently-bought-together
5|4|1.0|editorial-pick
6|4|1.0|frequently-bought-together
28|4|1.0|same-topic
29|4|1.0|reader-overlap
30|4|1.0|editorial-pick
31|4|1.0|frequently-bought-together
6|5|1.0|also-recommended
7|5|1.0|same-topic
7|6|1.0|reader-overlap
10|6|1.0|also-recommended
12|6|1.0|reader-overlap
18|6|1.0|editorial-pick
22|6|1.0|reader-overlap
25|6|1.0|also-recommended
29|6|1.0|frequently-bought-together
14|7|1.0|also-recommended
30|7|1.0|same-topic
58|7|1.0|frequently-bought-together
71|7|1.0|reader-overlap
85|7|1.0|same-topic
9|8|1.0|same-topic
10|8|1.0|reader-overlap
11|8|1.0|editorial-pick
12|8|1.0|frequently-bought-together
13|8|1.0|also-recommended
14|8|1.0|same-topic
20|8|1.0|reader-overlap
21|8|1.0|editorial-pick
22|8|1.0|frequently-bought-together
23|8|1.0|also-recommended
24|8|1.0|same-topic
26|8|1.0|editorial-pick
27|8|1.0|frequently-bought-together
32|8|1.0|frequently-bought-together
33|8|1.0|also-recommended
35|8|1.0|reader-overlap
37|8|1.0|frequently-bought-together
40|8|1.0|reader-overlap
41|8|1.0|editorial-pick
42|8|1.0|frequently-bought-together
43|8|1.0|also-recommended
44|8|1.0|same-topic
45|8|1.0|reader-overlap
46|8|1.0|editorial-pick
11|9|1.0|frequently-bought-together
12|9|1.0|also-recommended
14|9|1.0|reader-overlap
20|9|1.0|editorial-pick
24|9|1.0|reader-overlap
27|9|1.0|also-recommended
41|9|1.0|frequently-bought-together
45|9|1.0|editorial-pick
47|9|1.0|also-recommended
48|9|1.0|same-topic
49|9|1.0|reader-overlap
50|9|1.0|editorial-pick
51|9|1.0|frequently-bought-together
52|9|1.0|also-recommended
11|10|1.0|also-recommended
12|10|1.0|same-topic
15|10|1.0|frequently-bought-together
16|10|1.0|also-recommended
19|10|1.0|editorial-pick
21|10|1.0|also-recommended
33|10|1.0|reader-overlap
35|10|1.0|frequently-bought-together
37|10|1.0|same-topic
38|10|1.0|reader-overlap
39|10|1.0|editorial-pick
55|10|1.0|frequently-bought-together
12|11|1.0|reader-overlap
13|11|1.0|editorial-pick
14|11|1.0|frequently-bought-together
17|11|1.0|reader-overlap
20|11|1.0|also-recommended
