vertex_id|name|category
0|Duty and Honor|Conservative
1|The Patriot's Stand|Conservative
2|Enduring Freedom|Conservative
3|Bush at War|Conservative
4|Ambush|Conservative
5|Dereliction|Conservative
6|Betrayal|Conservative
7|The Right Man|Conservative
8|Let Freedom Ring|Conservative
9|Slander|Conservative
10|Treason|Conservative
11|Bias|Conservative
12|Arrogance|Conservative
13|Deliver Us from Evil|Conservative
14|Off the Record|Conservative
15|The Savage Nation|Conservative
16|Useful Idiots|Conservative
17|Shut Up and Sing|Conservative
18|Losing Bin Laden|Conservative
19|Invasion|Conservative
20|Legacy|Conservative
21|The Death of the West|Conservative
22|Rewriting History|Conservative
23|Hating America|Conservative
24|Shadow War|Conservative
25|Breakdown|Conservative
26|Dangerous Diplomacy|Conservative
27|Deception|Conservative
28|Shakedown|Conservative
29|The Final Days|Conservative
30|Give Me a Break|Conservative
31|Tales from the Left Coast|Conservative
32|The Enemy Within|Conservative
33|Weapons of Mass Distortion|Conservative
34|Persecution|Conservative
35|South Park Conservatives|Conservative
36|Unfit for Command|Conservative
37|Men in Black|Conservative
38|Winning the Future|Conservative
39|Liberalism Is a Mental Disorder|Conservative
40|The Case for Democracy|Conservative
41|Their Lives|Conservative
42|Reckless Disregard|Conservative
43|The Faith of Our Fathers|Conservative
44|Hard Line|Conservative
45|Onward Muslim Soldiers|Conservative
46|The Neocon Reader|Conservative
47|Power and Principle|Conservative
48|A National Party No More|Conservative
49|Big Lies|Liberal
50|The Price of Loyalty|Liberal
51|Weapons of Mass Deception|Liberal
52|Losing America|Liberal
53|Dude Where Is My Country|Liberal
54|Lies and the Lying Liars|Liberal
55|Worse Than Watergate|Liberal
56|Had Enough|Liberal
57|Plan of Attack|Liberal
58|Against All Enemies|Liberal
59|The Great Unraveling|Liberal
60|Perfectly Legal|Liberal
61|The Bubble of American Supremacy|Liberal
62|House of Bush House of Saud|Liberal
63|Disarming Iraq|Liberal
64|Soft Power|Liberal
65|Imperial Hubris|Liberal
66|Chain of Command|Liberal
67|Rise of the Vulcans|Liberal
68|Ghost Wars|Liberal
69|Hegemony or Survival|Liberal
70|The Sorrows of Empire|Liberal
71|American Dynasty|Liberal
72|The Exception to the Rulers|Liberal
73|Bushwhacked|Liberal
74|Thieves in High Places|Liberal
75|Fanatics and Fools|Liberal
76|The Book on Bush|Liberal
77|Intelligence Matters|Liberal
78|What Went Wrong|Liberal
79|Fraud|Liberal
80|The Two Percent Solution|Liberal
81|Cruel and Unusual|Liberal
82|It Still Takes a Village|Liberal
83|The Politics of Truth|Liberal
84|Blinded by the Right|Liberal
85|All the Presidents Spin|Liberal
86|Running on Empty|Liberal
87|The Wilderness|Liberal
88|After the Neocons|Liberal
89|American Theocracy|Liberal
90|Failed States|Liberal
91|Fiasco|Liberal
92|The Lexus and the Olive Tree|Neutral
93|The Right Nation|Neutral
94|One Nation Two Cultures|Neutral
95|The Paradox of American Power|Neutral
96|Being America|Neutral
97|Colossus|Neutral
98|The Clash of Civilizations|Neutral
99|Who Are We|Neutral
100|The Pentagon's New Map|Neutral
101|The Future of Freedom|Neutral
102|The World Is Flat|Neutral
103|The Assassins Gate|Neutral
104|Cobra II|Neutral
