vertex_id|name|category
0|Ripple|Social
1|Shadow|Social
2|Notch|Regular
3|Echo|Regular
4|Splash|Peripheral
5|Coral|Regular
6|Finn|Social
7|Drift|Regular
8|Storm|Social
9|Azure|Social
10|Pearl|Regular
11|Skipper|Peripheral
12|Breeze|Peripheral
13|Crest|Social
14|Dusk|Hub
15|Flash|Social
16|Glimmer|Social
17|Harbor|Social
18|Ivory|Social
19|Kelp|Regular
20|Luna|Social
21|Mist|Social
22|Neptune|Peripheral
23|Orbit|Regular
24|Pebble|Social
25|Reef|Regular
26|Sable|Regular
27|Tide|Regular
28|Whisper|Regular
29|Zigzag|Social
30|Copper|Regular
31|Slate|Peripheral
32|Flicker|Regular
33|Cobalt|Hub
34|Ember|Regular
35|Thistle|Peripheral
36|Nimbus|Social
37|Shale|Hub
38|Garnet|Social
39|Onyx|Peripheral
40|Jasper|Social
41|Anchor|Regular
42|Flint|Social
43|Cedar|Social
44|Russet|Regular
45|Fern|Hub
46|Basalt|Peripheral
47|Tusk|Social
48|Quartz|Peripheral
49|Granite|Peripheral
50|Birch|Social
51|Dune|Hub
52|Sage|Regular
53|Mosaic|Peripheral
54|Indigo|Social
55|Haven|Peripheral
56|Alder|Peripheral
57|Cirrus|Social
58|Fossil|Peripheral
59|Brine|Regular
60|Drake|Peripheral
61|Lark|Regular
